t_start,t_end,Mean,Std,Quantile.0.025,Quantile.0.05,Quantile.0.25,Median,Quantile.0.75,Quantile.0.95,Quantile.0.975,t_mid,Date
8,14,1.0127059865425838,0.02760226350974783,0.9674222279938175,0.9736297198419264,0.9948864377193419,1.0094251510792063,1.0255062118215565,1.0684209084865968,1.083677493502829,11,2021-02-13
9,15,0.9378579894864271,0.01704988276643773,0.9011162606363576,0.9076646490161072,0.9272565941818631,0.9388447776042402,0.9496036804310556,0.9639579251021917,0.9688440899557897,12,2021-02-14
10,16,0.9514262833350121,0.014700667138111155,0.9215086511743024,0.9264686311418662,0.9419056724151548,0.9517230832873051,0.9612449395690773,0.9751375637806239,0.9795496532986623,13,2021-02-15
11,17,0.9153137459518883,0.01318299464304062,0.8897363350422763,0.8938463170666975,0.9062791373035952,0.9152349669026953,0.9243589640346133,0.9369386955762693,0.941275656745987,14,2021-02-16
12,18,0.9196065296294036,0.013306356176009124,0.8939781129259348,0.8978297217071046,0.9104240978974745,0.9195876076172201,0.928431998316566,0.9416467581961906,0.9458483161055498,15,2021-02-17
13,19,0.9019769610653007,0.015603071947527653,0.8733923353045816,0.8777964954092805,0.8910516109517594,0.901210608180481,0.9118718519088644,0.92925995255972,0.9345969608998627,16,2021-02-18
14,20,0.9092262868214708,0.020014931827666133,0.8749467455900665,0.8796512924187231,0.8944853293562627,0.9071737562133321,0.9228603674932473,0.9446660962254004,0.950892314814723,17,2021-02-19
15,21,0.9026037795445796,0.023769280161933453,0.8596769563839087,0.8653728212498722,0.8843669253883557,0.9019639220240923,0.9204499801595832,0.9419167725225512,0.9477917006412506,18,2021-02-20
16,22,0.9254071521320758,0.024549830524990338,0.879351852935705,0.8853192531098072,0.9070557241282939,0.9258311025498832,0.9437953159406473,0.9646956396610961,0.9705375689194057,19,2021-02-21
17,23,0.9010822587059716,0.02236136779783406,0.8582984625613594,0.8643263706016987,0.8847818347382903,0.9014305760900616,0.9176491731641832,0.9368876187846995,0.942373832882508,20,2021-02-22
18,24,0.9386652886930003,0.02148458725236732,0.8973960868818451,0.9033020239263346,0.9230997931933967,0.9391487857163023,0.9541839755362699,0.9733516099672125,0.9786326725515712,21,2021-02-23
19,25,0.8945318979340297,0.01934883599172158,0.8576504220875607,0.8627283120877164,0.8807909817998674,0.8946773959850199,0.9080574323309669,0.9263663165521004,0.9316053233686686,22,2021-02-24
20,26,0.9002354035030753,0.019136138643278445,0.8634193622030226,0.8690738987918633,0.8866683459057224,0.9002729928226805,0.9137148022777163,0.9312303496771857,0.9369668067039745,23,2021-02-25
21,27,0.9087913404382245,0.019202753547313118,0.8727201397460963,0.8777433490635446,0.8951209209707387,0.9084159965110834,0.9222328221622422,0.9409686136600193,0.9466158590885472,24,2021-02-26
22,28,0.8801171780329355,0.019373043614807496,0.8440087882634134,0.8489794202186358,0.8661248599096031,0.8797562401698241,0.8937871043885519,0.9123795465919496,0.9178092476518341,25,2021-02-27
23,29,0.8874378875388272,0.02195385561755464,0.8480604993028551,0.8533029751269309,0.8713656960404792,0.8863818077658239,0.9029120044284058,0.924929419868401,0.9315020733292998,26,2021-02-28
24,30,0.8670751624269727,0.02375012684120107,0.8252588544690697,0.8304088397193883,0.8491750401201894,0.8657037375126131,0.8844136839687465,0.9072633872678914,0.9133521860163701,27,2021-03-01
25,31,0.8485927873526521,0.02394169996453241,0.8045918329375364,0.809987457646403,0.8302834387560607,0.8487131252757836,0.8665727842401386,0.8871552704858606,0.8932974701315642,28,2021-03-02
26,32,0.8086691203763534,0.023195179027739796,0.765056974683208,0.7708868181052684,0.7917387947397029,0.8087551037885332,0.8254356212055496,0.846567030995387,0.8530451687462483,29,2021-03-03
27,33,0.8036709300091389,0.02412828359555634,0.7607796384191959,0.7662220438074357,0.7855165224630557,0.802545410948938,0.8211108711282981,0.844770676446631,0.8511166083493004,30,2021-03-04
28,34,0.764400142322705,0.0261484896098451,0.7187406452126037,0.7243172202228326,0.7444479134521331,0.7627701830291895,0.7835595502049606,0.8089227778150352,0.8157608683811014,31,2021-03-05
29,35,0.766811505698239,0.031040578649223518,0.7153593956180985,0.7208911822513514,0.7424479932889941,0.7635871125206675,0.7899146974310393,0.8206448001395417,0.8284744636018014,32,2021-03-06
30,36,0.7872528362553171,0.03820703002610727,0.7257779976828479,0.7320956240271286,0.7561234840647851,0.7829073939411294,0.8174156761781055,0.8526970875182738,0.8607399520825031,33,2021-03-07
31,37,0.8243513196655041,0.04545902483480578,0.7503715022496988,0.7570424393404022,0.7862013687287762,0.8210432190831176,0.8618615281363304,0.8990199827239373,0.9073109155997119,34,2021-03-08
32,38,0.8714994373737591,0.050733653227665466,0.7858816605050347,0.7931731868720355,0.8290764349631196,0.870403757988702,0.9135525911842626,0.9527813875792497,0.9620270205222691,35,2021-03-09
33,39,0.9398790060648721,0.05244798900107617,0.8485681757853301,0.8569370359847812,0.8957955107628582,0.9408061987845002,0.9841215377854734,1.0202960442059785,1.0286528210397947,36,2021-03-10
34,40,0.9633204139277771,0.04506149867814676,0.8774684965412178,0.8865562483333616,0.9271482996698223,0.9697043528608323,0.9995522730314167,1.027986338914859,1.0357171765312632,37,2021-03-11
35,41,1.029996528889649,0.03421743126718552,0.9575659150110906,0.9666237077550462,1.0065578525794159,1.0355523579514312,1.0553831759123886,1.078500175343914,1.0853519732998997,38,2021-03-12
