date,province,country,lat,long,type,cases
2020-05-03,,Ireland,53.1424,-7.6921,confirmed,330
2020-05-04,,Ireland,53.1424,-7.6921,confirmed,266
2020-05-05,,Ireland,53.1424,-7.6921,confirmed,211
2020-05-06,,Ireland,53.1424,-7.6921,confirmed,265
2020-05-07,,Ireland,53.1424,-7.6921,confirmed,137
2020-05-08,,Ireland,53.1424,-7.6921,confirmed,156
2020-05-09,,Ireland,53.1424,-7.6921,confirmed,219
2020-05-10,,Ireland,53.1424,-7.6921,confirmed,236
2020-05-11,,Ireland,53.1424,-7.6921,confirmed,139
2020-05-12,,Ireland,53.1424,-7.6921,confirmed,107
2020-05-13,,Ireland,53.1424,-7.6921,confirmed,159
2020-05-14,,Ireland,53.1424,-7.6921,confirmed,426
2020-05-15,,Ireland,53.1424,-7.6921,confirmed,129
2020-05-16,,Ireland,53.1424,-7.6921,confirmed,92
2020-05-17,,Ireland,53.1424,-7.6921,confirmed,64
2020-05-18,,Ireland,53.1424,-7.6921,confirmed,88
2020-05-19,,Ireland,53.1424,-7.6921,confirmed,51
