t_start,t_end,Mean,Std,Quantile.0.025,Quantile.0.05,Quantile.0.25,Median,Quantile.0.75,Quantile.0.95,Quantile.0.975,t_mid,Date
8,14,0.9930335071039156,0.025258315811737753,0.9464545110115017,0.9530502134776995,0.976037474678263,0.9926787844198564,1.008162712020049,1.0357456483568197,1.0485200404725104,11,2021-02-13
9,15,0.9364010703303846,0.020268338356015537,0.894333829385574,0.9007266577859208,0.9225211615654223,0.9382550754672532,0.9512090054421933,0.9667143014385908,0.9716041423183571,12,2021-02-14
10,16,0.9522431846554146,0.017379225167545333,0.9143393079858534,0.9211391180918455,0.9415286032815735,0.9533866595730685,0.9642872528561042,0.9787024424776887,0.9832058072992451,13,2021-02-15
11,17,0.9350793346692943,0.013767714476682976,0.9082962524081981,0.9123456280309911,0.9258402349791907,0.9349738038145688,0.9443723062140396,0.9579830920354278,0.9619545960107769,14,2021-02-16
12,18,0.9245009704707784,0.013177022177061255,0.8988435612723285,0.902987127003133,0.9155609464333245,0.9244558338589439,0.9333596939994767,0.94609113004464,0.9505471230229607,15,2021-02-17
13,19,0.9119852067069815,0.013836243331707675,0.8856745825101169,0.8897448032997232,0.9025179081833413,0.9117483880420844,0.9210748799070387,0.9352377449714433,0.9399817997491501,16,2021-02-18
14,20,0.8975705616062417,0.016546288149623955,0.8676757690409407,0.8718909863665576,0.8858399551413908,0.8965194400328196,0.9085077322658677,0.9264867588629456,0.9318276595558573,17,2021-02-19
15,21,0.8801740434213634,0.019294501575136125,0.8454591660765381,0.8499196474230177,0.8658107843192471,0.8793686396005684,0.8940078291597129,0.9126365404351864,0.9177782542784777,18,2021-02-20
16,22,0.8815674134549218,0.020623286307435623,0.8436214696646771,0.8484625169866574,0.8667194047552268,0.8810016669342197,0.8964440357821188,0.9160327544478974,0.9215930281641735,19,2021-02-21
17,23,0.847493516470316,0.020731433266626124,0.8099107015507117,0.814880933579594,0.8321182838998209,0.8466725644513885,0.8623417468315758,0.8823269447040388,0.8883964729954356,20,2021-02-22
18,24,0.8662304532552969,0.022575558439651852,0.8260258908963901,0.8310994584828847,0.8491981375196558,0.8651478685083052,0.88271800323094,0.9043033338875254,0.9104762598168721,21,2021-02-23
19,25,0.8399788633016093,0.024035595646853345,0.7980242812470039,0.8033091835838241,0.8216417936297563,0.8381975254321927,0.857854002166103,0.8809557118120938,0.8874036657612716,22,2021-02-24
20,26,0.8475281101857145,0.02610047728174137,0.802720466400669,0.8079609930799586,0.8272378851289273,0.8456192293966458,0.8672535944510388,0.8914349729407186,0.8979504038086662,23,2021-02-25
21,27,0.8706832135709968,0.028937885001231952,0.8210357892518565,0.8266501976846664,0.8481506116674293,0.86851820478498,0.8925038595584748,0.9198407909306223,0.9264662749481862,24,2021-02-26
22,28,0.8547588902692661,0.029681812084060195,0.8030811982361193,0.8092158315740376,0.831339566997668,0.8531965637488618,0.8779064131848315,0.9036478294377784,0.910455731626737,25,2021-02-27
23,29,0.8778699006015519,0.03037108135379421,0.8233828453028992,0.8295433190284577,0.854235850326352,0.8772103767746283,0.9009916406369746,0.9276078502216353,0.9343587901189879,26,2021-02-28
24,30,0.8711080543484652,0.02880638998541186,0.8192509161597837,0.8255025693797262,0.8489383766040285,0.8703297699807573,0.893469783784729,0.9176613372880729,0.9245554592876327,27,2021-03-01
25,31,0.8391427821943671,0.025201916799629263,0.7915104847092136,0.7975716808126164,0.8199592460208058,0.8398359074825776,0.8581228774470128,0.8791075426959585,0.8845606007379677,28,2021-03-02
26,32,0.8151612391423942,0.022691667721430317,0.7722257612633934,0.777826859202794,0.7989011198810991,0.8152078925146343,0.831568261067237,0.8523990177578743,0.857716073755738,29,2021-03-03
27,33,0.8134907983215477,0.022479139644859935,0.7728864769044747,0.7783214088042568,0.7969215321988699,0.8124092697614733,0.829507543622947,0.8516900592567357,0.8573950675903685,30,2021-03-04
28,34,0.7751939320621827,0.02390143865859417,0.733128698804201,0.7385250915745798,0.7574915602089525,0.7736152943783088,0.7920792077012058,0.8160355086064045,0.8237214155448374,31,2021-03-05
29,35,0.7841898116221571,0.030095449383509786,0.7358701003750663,0.7413247109242339,0.7612197101805047,0.7797538229976637,0.8056994005248332,0.8380201717495618,0.846617534743391,32,2021-03-06
30,36,0.8278991525685605,0.03895976377960882,0.7678187169401133,0.7733105925935949,0.7961898281843596,0.8217059663354215,0.8586907281965798,0.8957852253076881,0.9043444006647134,33,2021-03-07
31,37,0.8953959274034277,0.046220526419290274,0.8185811156787124,0.8260805269872313,0.8567091039731027,0.8928864719538153,0.9333497028123643,0.9705947871944505,0.9801743720988524,34,2021-03-08
32,38,0.9686133957521691,0.04977028359906552,0.8826188857497148,0.8911865313312629,0.9287437074132688,0.9666948339698349,1.008685851788278,1.0495472004692241,1.0596855494582798,35,2021-03-09
33,39,1.0106309290929831,0.04700606211441718,0.9271698733049077,0.9359107924856325,0.9728275698622086,1.0108409603706066,1.0492825600474405,1.0833600789251003,1.0924845742994613,36,2021-03-10
34,40,1.0024161659190065,0.03477050939456352,0.9319159891095743,0.9408639947574647,0.9772443684191456,1.006987855362597,1.0288272935972391,1.0528717222377166,1.0600857597834568,37,2021-03-11
35,41,1.0565240145602042,0.023855676327663798,1.0085454015178283,1.0162779531840886,1.040674951552261,1.0571035824332833,1.0730101159127352,1.094794730453553,1.1014725258453062,38,2021-03-12
